"Tm","WinP","Salary","Year","log.Salary"
"SFG",0.463,90199500,2005,18.3175344417802
"STL",0.617,92106833,2005,18.3384596895701
"TBD",0.414,29679067,2005,17.2059525404594
"TEX",0.488,55849000,2005,17.8381621782162
"TOR",0.494,45719500,2005,17.6380354606981
"WSN",0.5,48581500,2005,17.6987533579657
"ARI",0.469,59984226,2006,17.9095921856221
"ATL",0.488,90156876,2006,18.3170617775835
"BAL",0.432,72585582,2006,18.1002768650311
"BOS",0.531,120099824,2006,18.6038338216037
"CHC",0.407,94424499,2006,18.3633111207505
"CHW",0.556,102750667,2006,18.4478159028037
"CIN",0.494,60909519,2006,17.9249000258844
"CLE",0.481,56031500,2006,17.8414245905556
"COL",0.469,41233000,2006,17.5347494645876
"DET",0.586,82612866,2006,18.2296759890733
"FLA",0.481,14671500,2006,16.5014173943808
"HOU",0.506,100894435,2006,18.4295853301854
"KCR",0.383,47694000,2006,17.6803161617833
"LAA",0.549,103472000,2006,18.4548116026685
"LAD",0.543,98447187,2006,18.4050307897616
"MIL",0.463,57970333,2006,17.8754419376499
"MIN",0.593,63396006,2006,17.9649114205776
"NYM",0.599,101584963,2006,18.4364060801868
"NYY",0.599,194663079,2006,19.08678082216
"OAK",0.574,64843079,2006,17.987480739824
"PHI",0.525,88273333,2006,18.2959486154316
"PIT",0.414,46717750,2006,17.659634736078
"SDP",0.543,69896141,2006,18.0625209982409
"SEA",0.481,87959833,2006,18.2923908250588
"SFG",0.472,90056419,2006,18.3159469096665
"STL",0.515,88891371,2006,18.3029256316561
"TBD",0.377,34917967,2006,17.3685120684551
"TEX",0.494,68228662,2006,18.0383752984572
"TOR",0.537,71365000,2006,18.083318111046
"WSN",0.438,63143000,2006,17.9609125534275
"ARI",0.556,52067546,2007,17.7680523951635
"ATL",0.518,87290833,2007,18.284756009569
"BAL",0.426,93174808,2007,18.3499879426889
"BOS",0.593,143026214,2007,18.7785384861094
"CHC",0.525,101670332,2007,18.4372460977127
"CHW",0.444,108671833,2007,18.5038431924775
"CIN",0.444,68524980,2007,18.0427089082888
"CLE",0.593,61673267,2007,17.9373611210794
"COL",0.552,54041000,2007,17.8052535756963
"DET",0.543,95180369,2007,18.3712842705146
"FLA",0.438,30507000,2007,17.2334667234414
"HOU",0.451,87759000,2007,18.2901049791535
"KCR",0.426,67691500,2007,18.0304711760856
"LAA",0.58,109251333,2007,18.5091615932385
"LAD",0.506,108454524,2007,18.5018415094432
"MIL",0.512,70986500,2007,18.0780002760815
"MIN",0.488,71439500,2007,18.0843614956278
"NYM",0.543,116181663,2007,18.5706655844217
"NYY",0.58,207039045,2007,19.1484179566309
"OAK",0.469,79366940,2007,18.1895924667142
"PHI",0.549,89428213,2007,18.3089467720138
"PIT",0.42,38537833,2007,17.4671509920734
"SDP",0.546,58110567,2007,17.8778580813604
"SEA",0.543,106460833,2007,18.4832877102133
"SFG",0.438,90219056,2007,18.3177512265779
"STL",0.481,90286823,2007,18.3185020830437
"TBD",0.407,24123500,2007,16.9986970270905
"TEX",0.463,68643675,2007,18.0444395519205
"TOR",0.512,81942800,2007,18.2215320008441
"WSN",0.451,36947500,2007,17.4250085440709
"ARI",0.506,66202712,2008,18.0082319868355
"ATL",0.444,102365683,2008,18.444062087449
"BAL",0.422,67196246,2008,18.0231279408377
"BOS",0.586,133390035,2008,18.7087879885057
"CHC",0.603,120345833,2008,18.6058800975806
"CHW",0.546,121189332,2008,18.6128646079235
"CIN",0.457,74167695,2008,18.1218392359749
"CLE",0.5,78970066,2008,18.1845794272338
"COL",0.457,68655500,2008,18.0446118035022
"DET",0.457,138785196,2008,18.7484379432882
"FLA",0.522,21811500,2008,16.8979479116038
"HOU",0.534,87946807,2008,18.2922427237702
"KCR",0.463,59445500,2008,17.9005704843758
"LAA",0.617,119216333,2008,18.596450325021
"LAD",0.518,118588536,2008,18.5911703788104
"MIL",0.556,80937499,2008,18.2091877975029
"MIN",0.54,56932766,2008,17.8573815857298
"NYM",0.549,137793376,2008,18.7412658457223
"NYY",0.549,212286789,2008,19.173448696758
"OAK",0.466,47967126,2008,17.6860264592381
"PHI",0.568,97879880,2008,18.399251570547
"PIT",0.414,48689783,2008,17.7009797713817
"SDP",0.389,73677616,2008,18.1152095932532
"SEA",0.377,117666482,2008,18.5833647568231
"SFG",0.444,76594500,2008,18.1540358305664
"STL",0.531,99624449,2008,18.4169181643191
"TBR",0.599,44970597,2008,17.6215194341758
"TEX",0.488,68037326,2008,18.0355670243081
"TOR",0.531,97793900,2008,18.3983727608717
"WSN",0.366,54961000,2008,17.8221344007638
"ARI",0.432,75920666,2009,18.1451994846195
"ATL",0.531,99593166,2009,18.4166041057429
"BAL",0.395,69904166,2009,18.0626358048558
"BOS",0.586,125439499,2009,18.6473341206171
"CHC",0.515,139652000,2009,18.754664171771
"CHW",0.488,101081000,2009,18.4314327335893
"CIN",0.481,78979000,2009,18.1846925523093
"CLE",0.401,85224866,2009,18.2608038036784
"COL",0.568,79250200,2009,18.1881204943778
"DET",0.528,119510145,2009,18.5989118211299
"FLA",0.537,40029000,2009,17.5051147493927
"HOU",0.457,105804414,2009,18.4771027967451
"KCR",0.401,76817333,2009,18.1569408627579
"LAA",0.599,118169000,2009,18.5876263611947
"LAD",0.586,102117592,2009,18.4416355699577
"MIL",0.494,81384502,2009,18.2146954197253
"MIN",0.534,67804266,2009,18.0321356712852
"NYM",0.432,151994237,2009,18.8393531636181
"NYY",0.636,210330039,2009,19.1641884692742
"OAK",0.463,65945000,2009,18.0043316192421
"PHI",0.574,115479046,2009,18.5645996515541
"PIT",0.385,51912500,2009,17.7650701669211
"SDP",0.463,50954200,2009,17.7464377479941
"SEA",0.525,100134166,2009,18.4220215047308
"SFG",0.543,85444450,2009,18.2633770151532
"STL",0.562,90928409,2009,18.3255830405733
"TBR",0.518,67270334,2009,18.0242298950556
"TEX",0.537,79723548,2009,18.1940755580887
"TOR",0.463,83964500,2009,18.2459046484314
"WSN",0.364,64384000,2009,17.9803757130015
"ARI",0.401,61368166,2010,17.9324017896104
"ATL",0.562,84423666,2010,18.2513583231043
"BAL",0.407,81612500,2010,18.217492994477
"BOS",0.549,164507333,2010,18.9184657046838
"CHC",0.463,146609002,2010,18.8032797507158
"CHW",0.543,107195000,2010,18.4901601637222
"CIN",0.562,75321542,2010,18.1372767341937
"CLE",0.426,61203966,2010,17.9297225493044
"COL",0.512,90677000,2010,18.3228142996862
"DET",0.5,124039928,2010,18.6361140717384
"FLA",0.494,57454719,2010,17.8665076998778
"HOU",0.469,93216000,2010,18.3504299387413
"KCR",0.414,73105210,2010,18.1074101944101
"LAA",0.494,104963866,2010,18.469126715561
"LAD",0.494,95358016,2010,18.3731489556958
"MIL",0.475,81108278,2010,18.2112955853933
"MIN",0.58,97559166,2010,18.39596958269
"NYM",0.488,134422942,2010,18.7165016708906
"NYY",0.586,210733389,2010,19.1661043332346
"OAK",0.5,57904900,2010,17.8743125676325
"PHI",0.599,141928379,2010,18.7708331150871
"PIT",0.352,37443000,2010,17.4383303345687
"SDP",0.556,37799300,2010,17.4478011418998
"SEA",0.377,86510000,2010,18.2757705721566
"SFG",0.568,98641333,2010,18.4070009305166
"STL",0.531,93540751,2010,18.3539077388806
"TBR",0.593,71923471,2010,18.0911132089208
"TEX",0.556,56474374,2010,17.8492975357062
"TOR",0.525,62734000,2010,17.9544141233835
"WSN",0.426,67701000,2010,18.0306115088222
"ARI",0.58,54823166,2011,17.8196233998163
"ATL",0.549,93855132,2011,18.3572630025065
"BAL",0.426,88299038,2011,18.2962397708376
"BOS",0.556,166662475,2011,18.9314812174021
"CHC",0.438,136547329,2011,18.7321818450922
"CHW",0.488,127789000,2011,18.6658910242158
"CIN",0.488,77297134,2011,18.1631674365443
"CLE",0.494,49426566,2011,17.7159986108893
"COL",0.451,91648071,2011,18.3334664845653
"DET",0.586,106875231,2011,18.4871726466224
"FLA",0.444,57694000,2011,17.8706637399362
"HOU",0.346,71110500,2011,18.0797455631948
"KCR",0.438,35712000,2011,17.3909973247231
"LAA",0.531,138543166,2011,18.7466925029034
"LAD",0.509,103785477,2011,18.4578366056125
"MIL",0.593,86636333,2011,18.2772298351999
"MIN",0.389,112737000,2011,18.5405682303648
"NYM",0.475,151897309,2011,18.8387152518067
"NYY",0.599,206275028,2011,19.1447209236958
"OAK",0.457,67094000,2011,18.0216051791659
"PHI",0.63,172976379,2011,18.9686656055677
"PIT",0.444,45047000,2011,17.6232169471264
"SDP",0.438,45869140,2011,17.6413031177601
"SEA",0.414,86110600,2011,18.2711430744799
"SFG",0.531,124198333,2011,18.6373903054734
"STL",0.556,105433572,2011,18.4735916632789
"TBR",0.562,41053571,2011,17.530388381553
"TEX",0.593,93799264,2011,18.3566675674638
"TOR",0.5,64567800,2011,17.9832263924719
"WSN",0.497,68492928,2011,18.0422410570268
"ARI",0.5,67069833,2012,18.0212449181369
"ATL",0.58,86208000,2012,18.2722735387522
"BAL",0.574,77949000,2012,18.1715653246494
"BOS",0.426,110386000,2012,18.5194938721718
"CHC",0.377,86159366,2012,18.2717092323824
"CHW",0.525,118208000,2012,18.587956342541
"CIN",0.599,80309500,2012,18.2013984782705
"CLE",0.42,78911300,2012,18.1838349948261
"COL",0.395,75485000,2012,18.139444518984
"DET",0.543,131394000,2012,18.6937110008718
"HOU",0.34,37651000,2012,17.4438700722824
"KCR",0.444,61747075,2012,17.9385571639294
"LAA",0.549,140581000,2012,18.7612943930741
"LAD",0.531,177033600,2012,18.991850103031
"MIA",0.426,107678000,2012,18.4946558501369
"MIL",0.512,95717000,2012,18.3769064791008
"MIN",0.407,99066000,2012,18.411296852642
"NYM",0.457,91621424,2012,18.3331756887601
"NYY",0.586,197977900,2012,19.1036659662676
"OAK",0.58,61202500,2012,17.9296985963214
"PHI",0.5,171501558,2012,18.9601029090771
"PIT",0.488,70077000,2012,18.0651051954569
"SDP",0.469,55494700,2012,17.8317980786612
"SEA",0.463,78235600,2012,18.1752353448907
"SFG",0.58,117637350,2012,18.5831171450448
"STL",0.543,112071000,2012,18.534643156983
"TBR",0.556,63368700,2012,17.9644806066503
"TEX",0.574,124119900,2012,18.6367585918722
"TOR",0.451,82352700,2012,18.2265218009357
"WSN",0.605,92386000,2012,18.3414860099808
"ARI",0.5,80060500,2013,18.1982931568252
"ATL",0.593,95618750,2013,18.3758794884978
"BAL",0.525,100832000,2013,18.4289663235391
"BOS",0.599,175395500,2013,18.982553981929
"CHC",0.407,67874166,2013,18.0331660488501
"CHW",0.389,81401900,2013,18.2149091722237
"CIN",0.556,106255535,2013,18.4813574585296
"CLE",0.568,87342433,2013,18.2853469622859
"COL",0.457,73768000,2013,18.1164355912011
"DET",0.574,154407000,2013,18.8551025313148
"HOU",0.315,14672300,2013,16.5014719203795
"KCR",0.531,87426250,2013,18.2863061387812
"LAA",0.481,116532500,2013,18.5736807620222
"LAD",0.568,254161000,2013,19.3534784824472
"MIA",0.383,24761900,2013,17.0248167395086
"MIL",0.457,86945000,2013,18.2807862927983
"MIN",0.407,63042500,2013,17.959319660088
"NYM",0.457,69425860,2013,18.0557699785489
"NYY",0.525,246534750,2013,19.323013515142
"OAK",0.593,69440000,2013,18.0559736283164
"PHI",0.451,150860000,2013,18.8318628123898
"PIT",0.58,99230000,2013,18.4129509458904
"SDP",0.469,65988600,2013,18.0049925577989
"SEA",0.438,78887000,2013,18.1835270067148
"SFG",0.469,139845667,2013,18.756049993936
"STL",0.599,112583000,2013,18.5392012853623
"TBR",0.564,71163500,2013,18.0804906044877
"TEX",0.558,139261200,2013,18.751861864417
"TOR",0.457,124517800,2013,18.6399592355371
"WSN",0.531,112493250,2013,18.5384037778087
"ARI",0.395,89926500,2014,18.314503227974
"ATL",0.488,108081500,2014,18.4983961301283
"BAL",0.593,109097500,2014,18.5077525357836
"BOS",0.438,134628929,2014,18.7180328777875
"CHC",0.451,59800500,2014,17.9065245800899
"CHW",0.451,87475500,2014,18.2868693121205
"CIN",0.469,102230000,2014,18.4427357347332
"CLE",0.525,73509399,2014,18.1129238335584
"COL",0.407,95403500,2014,18.3736258233766
"DET",0.556,169135500,2014,18.9462107267853
"HOU",0.432,44736800,2014,17.6163069871053
"KCR",0.549,89804075,2014,18.313140910862
"LAA",0.605,128667000,2014,18.6727382294312
"LAD",0.58,230814600,2014,19.2571253488297
"MIA",0.475,42365400,2014,17.5618425493263
"MIL",0.506,109567000,2014,18.5120467922495
"MIN",0.432,87044000,2014,18.2819242958983
"NYM",0.488,82663615,2014,18.2302900994572
"NYY",0.518,258118959,2014,19.3689311180159
"OAK",0.543,89160900,2014,18.3059531606436
"PHI",0.451,176444967,2014,18.9885195840177
"PIT",0.543,80729000,2014,18.2066084243256
"SDP",0.475,76662100,2014,18.1549180112279
"SEA",0.537,95471000,2014,18.374333094414
"SFG",0.543,163510167,2014,18.9123857298545
"STL",0.556,129932500,2014,18.6825256428037
"TBR",0.475,77814300,2014,18.1698357768859
"TEX",0.414,129801239,2014,18.6815149076433
"TOR",0.512,136466200,2014,18.731587522879
"WSN",0.593,137235080,2014,18.7372059257054
"ARI",0.488,64434000,2015,17.9811520020684
"ATL",0.414,104037500,2015,18.4602619690365
"BAL",0.5,112989833,2015,18.5428083991774
"BOS",0.481,183931900,2015,19.0300761383705
"CHC",0.599,115306610,2015,18.5631053123038
"CHW",0.469,112889700,2015,18.54192179378
"CIN",0.395,111572286,2015,18.5301832437383
"CLE",0.503,59163766,2015,17.8958198516577
"COL",0.42,96438600,2015,18.3844170943739
"DET",0.46,172284750,2015,18.9646591891655
"HOU",0.531,93256200,2015,18.3508611022136
"KCR",0.586,121590475,2015,18.6161691938362
"LAA",0.525,131522500,2015,18.6946884976073
"LAD",0.568,265140000,2015,19.395768546335
"MIA",0.438,70031500,2015,18.064455698794
"MIL",0.42,70869500,2015,18.0763507155901
"MIN",0.512,107755000,2015,18.4953706895838
"NYM",0.556,98874473,2015,18.4093616540758
"NYY",0.537,214051957,2015,19.1817293332371
"OAK",0.42,64016001,2015,17.9746436257002
"PHI",0.389,103082167,2015,18.4510369660343
"PIT",0.605,104457499,2015,18.464290838507
"SDP",0.457,125203700,2015,18.6454525689093
"SEA",0.469,130681400,2015,18.6882728578323
"SFG",0.518,180018166,2015,19.0085683259844
"STL",0.617,128241500,2015,18.6694257630156
"TBR",0.494,64571233,2015,17.9832795599755
"TEX",0.543,178860789,2015,19.002118346144
"TOR",0.574,117917400,2015,18.5854949373155
"WSN",0.512,176496372,2015,18.9888108788856
