"Tm","WinP","Salary","Year","log.Salary"
"SDP",0.506,26854167,1992,17.1059315624083
"SEA",0.395,23304833,1992,16.9641713219191
"SFG",0.444,33163168,1992,17.3169504204593
"STL",0.512,27583836,1992,17.1327405069522
"TEX",0.475,30128167,1992,17.2209710728802
"TOR",0.593,44788666,1992,17.6174656743061
"ATL",0.642,41641417,1993,17.5446058309111
"BAL",0.525,29096500,1993,17.186128449994
"BOS",0.494,37120583,1993,17.4296821715779
"CAL",0.438,28588334,1993,17.1685092904775
"CHC",0.518,39386666,1993,17.4889378905931
"CHW",0.58,39696166,1993,17.4967651666865
"CIN",0.451,44879666,1993,17.6194953770833
"CLE",0.469,18561000,1993,16.7365731631812
"COL",0.414,10353500,1993,16.1528351847622
"DET",0.525,38150165,1993,17.4570406407182
"FLA",0.395,19330545,1993,16.7771970453034
"HOU",0.525,30210500,1993,17.2237001040369
"KCR",0.518,41455167,1993,17.5401230879889
"LAD",0.5,39440999,1993,17.4903164169925
"MIL",0.426,23806834,1993,16.9854832402812
"MIN",0.438,28217933,1993,17.1554682557815
"MON",0.58,18899333,1993,16.7546371884018
"NYM",0.364,39043667,1993,17.4801912444014
"NYY",0.543,42624900,1993,17.5679491475241
"OAK",0.42,37812333,1993,17.4481458772167
"PHI",0.599,28538334,1993,17.1667587940975
"PIT",0.463,24822467,1993,17.02725972845
"SDP",0.377,25511333,1993,17.0546333427708
"SEA",0.506,33646333,1993,17.3314146333769
"SFG",0.636,35159000,1993,17.3753911889661
"STL",0.537,23367334,1993,16.96684962213
"TEX",0.531,36376959,1993,17.4094461376759
"TOR",0.586,47279166,1993,17.6715802913126
"ATL",0.597,49383513,1994,17.7151271815136
"BAL",0.562,38849769,1994,17.4752126888143
"BOS",0.47,37859084,1994,17.4493815090523
"CAL",0.409,25156218,1994,17.0406156605326
"CHC",0.434,36287333,1994,17.4069792851687
"CHW",0.593,39183836,1994,17.4837748727835
"CIN",0.579,41073833,1994,17.5308818100415
"CLE",0.584,30490500,1994,17.2329257176493
"COL",0.453,23887333,1994,16.9888588764021
"DET",0.461,41446501,1994,17.5399140210247
"FLA",0.444,21633000,1994,16.889730484567
"HOU",0.574,33126000,1994,17.3158290304942
"KCR",0.556,40541334,1994,17.5178326042188
"LAD",0.509,38000001,1994,17.4530967440064
"MIL",0.461,24350500,1994,17.008062941163
"MIN",0.469,28438500,1994,17.1632544188923
"MON",0.649,19098000,1994,16.7650941754923
"NYM",0.487,30956583,1994,17.2480962323777
"NYY",0.62,46040334,1994,17.6450283963529
"OAK",0.447,34172500,1994,17.3469317850089
"PHI",0.47,31599000,1994,17.2686360324868
"PIT",0.465,24217250,1994,17.0025757471159
"SDP",0.402,14916333,1994,16.5179673450518
"SEA",0.438,29228500,1994,17.1906548186307
"SFG",0.478,42638666,1994,17.5682720521542
"STL",0.465,29275601,1994,17.1922649966993
"TEX",0.456,32973597,1994,17.3112177082781
"TOR",0.478,43433668,1994,17.5867454586928
"ATL",0.625,47235445,1995,17.6706551221212
"BAL",0.493,43942521,1995,17.5983929969663
"BOS",0.597,32455518,1995,17.2953810328831
"CAL",0.538,31223171,1995,17.2566710374005
"CHC",0.507,29505834,1995,17.2000985644694
"CHW",0.472,46961282,1995,17.6648340329411
"CIN",0.59,43144670,1995,17.5800694452686
"CLE",0.694,38057835,1995,17.4546175343468
"COL",0.535,34154717,1995,17.3464112603576
"DET",0.417,37044168,1995,17.4276214884094
"FLA",0.469,24515781,1995,17.0148275906061
"HOU",0.528,34169834,1995,17.346853766017
"KCR",0.486,29532834,1995,17.2010132193151
"LAD",0.542,39273201,1995,17.4860529358373
"MIL",0.451,17798825,1995,16.6946430018475
"MIN",0.389,25410500,1995,17.0506730323952
"MON",0.458,12473000,1995,16.3390768661078
"NYM",0.479,27674992,1995,17.1360397474894
"NYY",0.549,48874851,1995,17.7047735276718
"OAK",0.465,37739225,1995,17.4462105624527
"PHI",0.479,30555945,1995,17.2350698236679
"PIT",0.403,18355345,1995,16.7254313707048
"SDP",0.486,26382334,1995,17.0882051774579
"SEA",0.545,36481311,1995,17.4123106600247
"SFG",0.465,36462777,1995,17.4118024899753
"STL",0.434,37101000,1995,17.4291544813923
"TEX",0.514,34581451,1995,17.35882799801
"TOR",0.389,50590000,1995,17.7392644862681
"ATL",0.593,49698500,1996,17.7214853095249
"BAL",0.543,54599315,1996,17.8155318948489
"BOS",0.525,42393500,1996,17.5625056065635
"CAL",0.435,28847000,1996,17.1775165593763
"CHC",0.469,33081000,1996,17.3144696574089
"CHW",0.525,45289500,1996,17.6285857755068
"CIN",0.5,42526334,1996,17.5656340655367
"CLE",0.615,48216360,1996,17.6912089405183
"COL",0.512,40324823,1996,17.5124777926293
"DET",0.327,23438000,1996,16.9698691948007
"FLA",0.494,31132000,1996,17.2537467870614
"HOU",0.506,28487000,1996,17.1649584008243
"KCR",0.466,20281250,1996,16.8252073718686
"LAD",0.556,35355000,1996,17.3809503830205
"MIL",0.494,21730000,1996,16.8942043522326
"MIN",0.481,23117000,1996,16.9560788355637
"MON",0.543,16264500,1996,16.6044953765625
"NYM",0.438,24479500,1996,17.0133465905632
"NYY",0.568,54191792,1996,17.8080400158274
"OAK",0.481,21243000,1996,16.871537987302
"PHI",0.414,34314500,1996,17.3510785633313
"PIT",0.451,23017500,1996,16.9517653541441
"SDP",0.562,28348172,1996,17.1600731063413
"SEA",0.528,41328501,1996,17.5370629167762
"SFG",0.42,37144725,1996,17.4303323271216
"STL",0.543,40269667,1996,17.5111090636104
"TEX",0.556,39041528,1996,17.4801364580875
"TOR",0.457,30555083,1996,17.2350416127205
"ANA",0.518,31135472,1997,17.2538583059618
"ATL",0.624,52278500,1997,17.7720957546484
"BAL",0.605,58516400,1997,17.884817614794
"BOS",0.481,43558750,1997,17.5896211595659
"CHC",0.42,42155333,1997,17.5568717587265
"CHW",0.497,57740000,1997,17.8714607321991
"CIN",0.469,49768000,1997,17.722882765177
"CLE",0.534,56802460,1997,17.8550901926127
"COL",0.512,43559667,1997,17.5896422113717
"DET",0.488,17272000,1997,16.6645972511768
"FLA",0.568,48692500,1997,17.7010355720862
"HOU",0.518,34777500,1997,17.3644811839159
"KCR",0.416,34810000,1997,17.3654152597876
"LAD",0.543,45380304,1997,17.6305887362799
"MIL",0.484,23655338,1997,16.9790993556792
"MIN",0.42,34072500,1997,17.3440011652838
"MON",0.481,19295500,1997,16.7753824660672
"NYM",0.543,39800400,1997,17.4993875204554
"NYY",0.593,62241545,1997,17.9465332607911
"OAK",0.401,24018500,1997,16.9943349247061
"PHI",0.42,36656500,1997,17.4171013239141
"PIT",0.488,10771667,1997,16.1924298189564
"SDP",0.469,37363672,1997,17.436209453433
"SEA",0.556,41540661,1997,17.5421832886593
"SFG",0.556,35592378,1997,17.3876420717757
"STL",0.451,45456667,1997,17.6322700564989
"TEX",0.475,53448838,1997,17.7942354552551
"TOR",0.469,47079833,1997,17.6673552931963
"ANA",0.525,41791000,1998,17.5481915633075
"ARI",0.401,32347000,1998,17.2920318389077
"ATL",0.654,61186000,1998,17.9294289631435
"BAL",0.488,72525634,1998,18.0994506297467
"BOS",0.568,56927000,1998,17.8572803032451
"CHC",0.552,50838000,1998,17.7441546644087
"CHW",0.494,39850000,1998,17.5006329632005
"CIN",0.475,23005000,1998,16.9512221415717
"CLE",0.549,61718166,1998,17.9380888701765
"COL",0.475,50484648,1998,17.7371798480282
"DET",0.401,24265000,1998,17.0045455408215
"FLA",0.333,41864667,1998,17.5499527594507
"HOU",0.63,42374000,1998,17.5620455245664
"KCR",0.447,38097500,1998,17.4556592211462
"LAD",0.512,48820000,1998,17.7036506229291
"MIL",0.457,34139904,1998,17.3459774633758
"MIN",0.432,28097500,1998,17.1511911623746
"MON",0.401,10641500,1998,16.180272009385
"NYM",0.543,52247999,1998,17.7715121514251
"NYY",0.704,66806867,1998,18.0173164326246
"OAK",0.457,21473000,1998,16.8823068899493
"PHI",0.463,36297500,1998,17.40725942634
"PIT",0.426,15065000,1998,16.5278847305465
"SDP",0.605,46861500,1998,17.6627070007749
"SEA",0.472,54802036,1998,17.8192379045128
